"No.","Text"
"1","Message Received!!"
"2","I will call back later!"
"3","I am not available now!"
"4","QSY TO TG-8"
"5","QSY TO TG-9"
"6","QSY TO SIMPLEX 1"
"7","QSY TO SIMPLEX 2"
"8","QSY TO SIMPLEX 3"
